城市,景点名,地点,距离,坐标,评论数,评论分,热评分,封面,是否免费,价格,原价,类别信息,标签,是否5A
上海,东方绿舟景区,青浦朱家角/东方绿舟,距市中心46.1km,"31.114697, 121.017139",2938,4.6,5.0,https://dimg04.c-ctrip.com/images/1lo0112000i3mwp07AEE5.jpg,False,45.0,50.0,,"遛娃宝藏地, 踏青必去",4A
上海,上海 · Gracie Abrams《The Secret of Us》巡演,虹桥机场/国家会展中心,距市中心12.3km,"31.226527, 121.351939",0,0.0,5.0,https://dimg04.c-ctrip.com/images/0104i12000dg855o0C533.jpg,False,0,0,,演唱会,
上海,龙华寺,徐家汇地区,距市中心6.5km,"31.181637, 121.458265",303,4.7,5.0,https://dimg04.c-ctrip.com/images/0106412000f6scl5v6F4B.jpg,True,0,0,,历史建筑,
上海,ERA-时空之旅,大宁国际商业区,距市中心5.7km,"31.284193, 121.458224",251,4.7,5.0,https://dimg04.c-ctrip.com/images/0103k120008wysbs566A6.jpg,False,361.0,380.0,,"演出, 现场演出",
上海,思南路,淮海路/新天地地区,距市中心2.0km,"31.21888, 121.475399",412,4.8,5.0,https://dimg04.c-ctrip.com/images/0105t12000f6ql3oh9EDC.jpg,True,0,0,,城市漫步,
上海,愚园路历史风貌保护区,静安寺/南京西路,距市中心3.5km,"31.227889, 121.444429",429,4.7,4.9,https://dimg04.c-ctrip.com/images/0103v12000f6tu82iDF11.jpg,True,0,0,,城市漫步,
上海,七个小矮人矿山车,迪士尼度假区,距市中心20.1km,"31.151056, 121.666178",192,4.7,4.9,https://dimg04.c-ctrip.com/images/100s0t000000ivq3dF1C2.jpg,False,0,0,,,
上海,迪士尼朋友见面处,迪士尼度假区,距市中心20.4km,"31.149149, 121.668412",15180,4.8,4.9,https://dimg04.c-ctrip.com/images/0103y120008fy96t6EDA2.jpg,False,0,0,,夜游观景,
上海,深坑秘境乐园-上海世茂精灵之城主题乐园,佘山/松江大学城,距市中心35.9km,"31.063856, 121.161784",2141,3.9,4.9,https://dimg04.c-ctrip.com/images/350815000000y3krp45F1.jpg,False,120.0,130.0,,"遛娃宝藏地, 游乐场",
上海,国家会展中心(上海),虹桥机场/国家会展中心,距市中心17.0km,"31.196105, 121.3084",257,4.6,4.9,https://dimg04.c-ctrip.com/images/0100q12000f6qy7sl3AB7.jpg,True,0,0,,"地标观景, 场馆展馆",
