序号,景区名称,客流数,舒适度,时间
172490,上海植物园,5726,舒适,2018/8/31 22:55
172491,东方假日田园,0,舒适,2018/8/31 22:54
172492,上海大观园,3,舒适,2018/8/31 22:54
172493,上海植物园,5726,舒适,2018/8/31 22:54
172494,上海科技馆,0,舒适,2018/8/31 22:54
172495,上海金山嘴渔村景区,48,舒适,2018/8/31 22:54
172496,上海田子坊景区,678,舒适,2018/8/31 22:53
172497,上海植物园,5726,舒适,2018/8/31 22:53
172498,上海古猗园,0,舒适,2018/8/31 22:53
172499,上海植物园,5726,舒适,2018/8/31 22:52
172500,上海月湖雕塑公园,0,舒适,2018/8/31 22:52
172501,上海影视乐园,200,舒适,2018/8/31 22:51
172502,上海植物园,5726,舒适,2018/8/31 22:51
172503,上海影视乐园,200,舒适,2018/8/31 22:50
172504,上海植物园,5726,舒适,2018/8/31 22:49
172505,东方假日田园,0,舒适,2018/8/31 22:49
172506,周浦花海,283,舒适,2018/8/31 22:49
172507,上海大观园,3,舒适,2018/8/31 22:49
172508,上海科技馆,0,舒适,2018/8/31 22:49
172509,中国航海博物馆,45,舒适,2018/8/31 22:48
172510,上海植物园,5726,舒适,2018/8/31 22:48
172511,上海古猗园,0,舒适,2018/8/31 22:48
172512,上海田子坊景区,693,舒适,2018/8/31 22:48
172513,朱家角古镇,649,舒适,2018/8/31 22:48
172514,上海植物园,5726,舒适,2018/8/31 22:47
172515,上海月湖雕塑公园,0,舒适,2018/8/31 22:47
172516,上海辰山植物园,58,舒适,2018/8/31 22:47
172517,上海金山嘴渔村景区,47,舒适,2018/8/31 22:46
172518,上海植物园,5726,舒适,2018/8/31 22:46
172519,上海东林寺景区,0,舒适,2018/8/31 22:46
172520,上海影视乐园,200,舒适,2018/8/31 22:46
172521,上海世纪公园,506,舒适,2018/8/31 22:45
172522,上海和平公园,3248,较舒适,2018/8/31 22:45
172523,上海植物园,5726,舒适,2018/8/31 22:45
172524,上海嘉定州桥,166,舒适,2018/8/31 22:45
172525,上海影视乐园,200,舒适,2018/8/31 22:45
172526,上海科技馆,0,舒适,2018/8/31 22:44
172527,上海植物园,5726,舒适,2018/8/31 22:44
172528,上海大观园,3,舒适,2018/8/31 22:44
172529,东方假日田园,0,舒适,2018/8/31 22:44
172530,上海植物园,5726,舒适,2018/8/31 22:43
172531,上海古猗园,0,舒适,2018/8/31 22:43
172532,上海植物园,5726,舒适,2018/8/31 22:42
172533,上海田子坊景区,725,舒适,2018/8/31 22:42
172534,上海月湖雕塑公园,0,舒适,2018/8/31 22:42
172535,上海影视乐园,200,舒适,2018/8/31 22:41
172536,上海植物园,5726,舒适,2018/8/31 22:41
172537,上海植物园,5726,舒适,2018/8/31 22:40
172538,上海长风公园,0,舒适,2018/8/31 22:40
172539,上海影视乐园,200,舒适,2018/8/31 22:40
172540,上海植物园,5726,舒适,2018/8/31 22:39
